ma_3,ma_7,month,day,amounts ( in ₹ )
45.0,35.0,8,18,30.0
21.666666666666668,37.857142857142854,8,17,55.0
31.666666666666668,37.857142857142854,8,17,10.0
31.666666666666668,35.714285714285715,8,16,30.0
31.666666666666668,37.142857142857146,8,14,10.0
16.666666666666668,24.285714285714285,8,13,30.0
23.333333333333332,25.0,8,12,10.0
16.666666666666668,25.0,8,12,20.0
20.0,23.571428571428573,8,11,10.0
13.333333333333334,17.142857142857142,8,10,30.0
20.0,20.0,8,29,10.0
16.666666666666668,17.142857142857142,8,26,10.0
16.666666666666668,17.142857142857142,8,26,550.0
190.0,91.42857142857143,8,25,479.0
346.3333333333333,158.42857142857142,8,25,10.0
346.3333333333333,157.0,8,25,10.0
166.33333333333334,157.0,8,25,25.0
15.0,156.28571428571428,8,23,30.0
21.666666666666668,159.14285714285714,8,23,60.0
38.333333333333336,166.28571428571428,8,22,35.0
41.666666666666664,92.71428571428571,8,22,16.0
37.0,26.571428571428573,8,21,349.0
133.33333333333334,75.0,8,21,30.0
131.66666666666666,77.85714285714286,7,28,10.0
129.66666666666666,75.71428571428571,7,27,90.0
43.333333333333336,84.28571428571429,7,27,16.0
38.666666666666664,78.0,7,26,20.0
42.0,75.85714285714286,7,25,50.0
28.666666666666668,80.71428571428571,7,25,50.0
40.0,38.0,7,25,25.0
41.666666666666664,37.285714285714285,7,24,50.0
41.666666666666664,43.0,7,24,50.0
41.666666666666664,37.285714285714285,7,24,25.0
41.666666666666664,38.57142857142857,7,23,50.0
41.666666666666664,42.857142857142854,7,23,50.0
41.666666666666664,42.857142857142854,7,23,25.0
41.666666666666664,39.285714285714285,7,22,50.0
41.666666666666664,42.857142857142854,7,22,34.0
36.333333333333336,40.57142857142857,7,22,50.0
44.666666666666664,40.57142857142857,7,22,25.0
36.333333333333336,40.57142857142857,7,21,50.0
41.666666666666664,40.57142857142857,7,21,50.0
41.666666666666664,40.57142857142857,7,21,25.0
41.666666666666664,40.57142857142857,7,20,50.0
41.666666666666664,40.57142857142857,7,20,20.0
31.666666666666668,38.57142857142857,7,20,50.0
40.0,38.57142857142857,7,20,25.0
31.666666666666668,38.57142857142857,7,19,50.0
41.666666666666664,38.57142857142857,7,19,15.0
30.0,33.57142857142857,7,19,50.0
38.333333333333336,37.142857142857146,7,19,142.0
69.0,50.285714285714285,7,18,50.0
80.66666666666667,54.57142857142857,7,18,10.0
67.33333333333333,48.857142857142854,7,18,22.0
27.333333333333332,48.42857142857143,7,17,50.0
27.333333333333332,48.42857142857143,7,16,33.0
35.0,51.0,7,15,33.0
38.666666666666664,48.57142857142857,7,15,33.0
33.0,33.0,7,13,389.0
151.66666666666666,81.42857142857143,7,12,10.0
144.0,81.42857142857143,7,12,10.0
136.33333333333334,79.71428571428571,7,12,10.0
10.0,74.0,7,25,181.0
67.0,95.14285714285714,7,23,11.0
67.33333333333333,92.0,7,23,22.0
71.33333333333333,90.42857142857143,6,20,148.0
60.333333333333336,56.0,6,29,148.0
106.0,75.71428571428571,6,24,319.0
205.0,119.85714285714286,5,15,148.0
205.0,139.57142857142858,5,12,148.0
205.0,134.85714285714286,5,11,25.0
107.0,136.85714285714286,5,10,114.15
95.71666666666665,150.02142857142857,5,10,10.0
49.71666666666667,130.30714285714285,5,10,40.0
54.71666666666667,114.87857142857142,5,10,25.0
25.0,72.87857142857142,5,29,169.8
78.26666666666667,75.99285714285715,5,28,60.0
84.93333333333334,63.42142857142858,5,28,60.0
96.60000000000001,68.42142857142858,5,28,25.0
48.333333333333336,55.6857142857143,5,27,175.8
86.93333333333334,79.37142857142858,5,27,25.0
75.26666666666667,77.22857142857143,5,27,88.0
96.26666666666667,86.22857142857143,5,26,80.0
64.33333333333333,73.39999999999999,5,25,319.0
162.33333333333334,110.39999999999999,5,24,185.7
194.9,128.35714285714286,5,23,44.0
182.9,131.07142857142858,5,22,20.0
83.23333333333333,108.81428571428572,5,21,42.0
35.333333333333336,111.24285714285715,5,21,205.0
89.0,127.95714285714287,4,30,40.0
95.66666666666667,122.24285714285715,4,30,29.0
91.33333333333333,80.81428571428572,4,29,65.0
44.666666666666664,63.57142857142857,4,28,10.0
34.666666666666664,58.714285714285715,4,27,154.84
76.61333333333333,77.97714285714287,4,27,154.84
106.56,94.09714285714287,4,27,205.14
171.60666666666665,94.11714285714285,4,27,205.14
188.3733333333333,117.70857142857143,4,27,10.0
140.09333333333333,114.99428571428572,4,25,20.0
78.38,108.5657142857143,4,23,42.0
24.0,113.13714285714286,4,23,173.0
78.33333333333333,115.73142857142855,4,22,32.0
82.33333333333333,98.18285714285715,4,22,32.0
79.0,73.44857142857143,4,20,203.04
89.01333333333332,73.14857142857143,4,20,10.0
81.67999999999999,73.14857142857143,4,19,70.0
94.34666666666665,80.29142857142857,4,19,44.0
41.333333333333336,80.57714285714285,4,18,24.0
46.0,59.29142857142857,4,17,17.0
28.333333333333332,57.14857142857142,4,16,30.0
23.666666666666668,56.86285714285714,4,15,65.0
37.333333333333336,37.142857142857146,4,14,999.0
364.6666666666667,178.42857142857142,4,14,209.0
424.3333333333333,198.28571428571428,4,13,203.04
470.34666666666664,221.00571428571428,4,13,20.0
144.01333333333332,220.43428571428572,4,12,30.0
84.34666666666666,222.29142857142855,4,12,30.0
26.666666666666668,222.29142857142855,4,10,42.0
34.0,219.00571428571428,4,29,268.14
113.38,114.59714285714286,4,29,380.6
230.24666666666667,139.11142857142858,4,29,36.0
228.24666666666667,115.24857142857142,4,29,12.0
142.86666666666667,114.10571428571428,4,28,65.0
37.666666666666664,119.10571428571428,4,28,14.0
30.333333333333332,116.82000000000001,4,26,219.54
99.51333333333332,142.18285714285713,4,26,20.0
84.51333333333334,106.73428571428572,4,25,30.0
89.84666666666665,56.64857142857142,4,25,20.0
23.333333333333332,54.36285714285714,4,23,44.0
31.333333333333332,58.93428571428571,4,23,35.0
33.0,54.64857142857142,4,21,100.0
59.666666666666664,66.9342857142857,4,21,37.0
57.333333333333336,40.857142857142854,3,31,59.0
65.33333333333333,46.42857142857143,3,31,1000.0
365.3333333333333,185.0,3,28,65.0
374.6666666666667,191.42857142857142,3,17,148.0
404.3333333333333,206.28571428571428,3,17,299.0
170.66666666666666,244.0,3,14,148.0
198.33333333333334,250.85714285714286,3,14,302.0
249.66666666666666,288.7142857142857,3,13,80.0
